Sample #,RandomID,Hair ID,Rapid Genomics ID,Site ID,Week,Check Date,Strand,Sample Quality,DNR ID,Database ID,PIT Tag,Bear,Sex,Year,Date,County,Region,What,Plate,Follicles,Abnormalitiy?,Comments,Address,Latitude,Longitude,,
11,12,12-23,UGA_173101_P001_WD02,HS 030,3,6/28/23,T,10+,,,,,,2023,6/28/23,Houston,CGA,Hair Snare,1,20,,,,32.45655,-83.54399,,
12,13,13-23,UGA_173101_P001_WE02,HS 068,3,7/1/23,T,10+,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,1,8,,,,32.43761,-83.46568,,
13,14,14-23,UGA_173101_P001_WF02,HS 101,6,7/20/23,B,6 to 10,,,,,,2023,7/20/23,Twiggs,CGA,Hair Snare,1,8,,,,32.50851,-83.39172,,
14,15,15-23,UGA_173101_P001_WG02,HS 024,3,6/27/23,B,10+,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,1,7,,,,32.42737,-83.49335,,
15,16,16-23,UGA_173101_P001_WH02,HS 070,7,7/29/23,T,10+,,,,,,2023,7/29/23,Bleckley,CGA,Hair Snare,1,11,,,,32.44693,-83.45346,,
16,17,17-23,UGA_173101_P001_WA03,HS 075,6,7/19/23,B,6 to 10,,,,,,2023,7/19/23,Twiggs,CGA,Hair Snare,1,6,,,,32.47474,-83.45443,,
17,18,18-23,UGA_173101_P001_WB03,HS 002,7,7/28/23,T,10+,,,,,,2023,7/28/23,Houston,CGA,Hair Snare,1,20,,,,32.39388,-83.59598,,
18,19,19-23,UGA_173101_P001_WC03,HS 042,7,7/27/23,B,6 to 10,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,1,10,,,,32.48712,-83.55912,,
19,20,20-23,UGA_173101_P001_WD03,HS 029,6,7/19/23,T,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,1,20,,,,32.45940,-83.55615,,
20,21,21-23,UGA_173101_P001_WB06,HS 068,2,6/24/23,B,10+,,,,,,2023,6/24/23,Bleckley,CGA,Hair Snare,1,10,,,,32.43761,-83.46568,,
20,21,21-23,UGA_173101_P001_WE03,HS 068,2,6/24/23,B,10+,,,,,,2023,6/24/23,Bleckley,CGA,Hair Snare,1,10,,,,32.43761,-83.46568,,
21,22,22-23,UGA_173101_P001_WF03,HS 031,7,7/26/23,T,6 to 10,,,,,,2023,7/26/23,Houston,CGA,Hair Snare,1,10,,,,32.45188,-83.53431,,
22,23,23-23,UGA_173101_P001_WG03,HS 024,3,6/27/23,B,6 to 10,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,1,5,,,,32.42737,-83.49335,,
23,24,24-23,UGA_173101_P001_WH03,HS 068,5,7/15/23,T,10+,,,,,,2023,7/15/23,Bleckley,CGA,Hair Snare,1,15,,,,32.43761,-83.46568,,
24,25,25-23,UGA_173101_P001_WA04,HS 009,6,7/19/23,T,6 to 10,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,1,10,,,,32.38062,-83.55952,,
25,26,26-23,UGA_173101_P001_WB04,HS 042,7,7/27/23,T,10+,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,1,10,,,,32.48712,-83.55912,,
26,27,27-23,UGA_173101_P001_WC04,HS 070,3,7/1/23,B,6 to 10,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,1,8,,,,32.44693,-83.45346,,
27,28,28-23,UGA_173101_P001_WE04,HS 005,5,7/12/23,T,10+,,,,,,2023,7/12/23,Houston,CGA,Hair Snare,1,9,,,,32.40774,-83.62762,,
28,29,29-23,UGA_173101_P001_WF04,HS 040,4,7/4/23,B,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,1,8,,,,32.47500,-83.52335,,
28,29,29-23,UGA_173101_P001_WF07,HS 040,4,7/4/23,B,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,1,8,,,,32.47500,-83.52335,,
29,30,30-23,UGA_173101_P001_WG04,HS 012,6,7/19/23,T,6 to 10,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,1,9,,,,32.39073,-83.56828,,
30,31,31-23,UGA_173101_P001_WH04,HS 101,3,6/30/23,T,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,1,12,,,,32.50851,-83.39172,,
31,32,32-23,UGA_173101_P001_WA05,HS 009,7,7/26/23,T,10+,,,,,,2023,7/26/23,Houston,CGA,Hair Snare,1,19,,,,32.38062,-83.55952,,
32,33,33-23,UGA_173101_P001_WB05,HS 012,7,7/26/23,T,10+,,,,,,2023,7/26/23,Houston,CGA,Hair Snare,1,20,,,,32.39073,-83.56828,,
33,34,34-23,UGA_173101_P001_WC05,HS 012,1,6/15/23,T,10+,,,,,,2023,6/15/23,Houston,CGA,Hair Snare,1,15,,,,32.39073,-83.56828,,
34,35,35-23,UGA_173101_P001_WD05,HS 027,6,7/18/23,T,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,1,12,,,,32.44472,-83.50545,,
35,36,36-23,UGA_173101_P001_WE05,HS 101,3,6/30/23,T,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,1,10,,,,32.50851,-83.39172,,
36,37,37-23,UGA_173101_P001_WF05,HS 027,4,7/4/23,T,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,1,7,,,,32.44472,-83.50545,,
37,38,38-23,UGA_173101_P001_WG05,HS 027,3,6/27/23,T,10+,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,1,10,,,,32.44472,-83.50545,,
38,39,39-23,UGA_173101_P001_WH05,HS 026,1,6/14/23,B,10+,,,,,,2023,6/14/23,Houston,CGA,Hair Snare,1,7,,,,32.44461,-83.52258,,
39,40,40-23,UGA_173101_P001_WA06,HS 075,6,7/19/23,T,10+,,,,,,2023,7/19/23,Twiggs,CGA,Hair Snare,1,8,,,,32.47474,-83.45443,,
40,41,41-23,UGA_173101_P001_WC06,HS 078,2,6/22/23,T,10+,,,,,,2023,6/22/23,Twiggs,CGA,Hair Snare,1,12,,,,32.48743,-83.45378,,
41,42,42-23,UGA_173101_P001_WD06,HS 044,3,6/27/23,T,6 to 10,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,1,5,,,,32.48715,-83.51058,,
42,43,43-23,UGA_173101_P001_WE06,HS 066,7,7/26/23,B,10+,,,,,,2023,7/26/23,Bleckley,CGA,Hair Snare,1,15,,,,32.42799,-83.46671,,
43,44,44-23,UGA_173101_P001_WF06,HS 024,5,7/11/23,B,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,1,16,,,,32.42737,-83.49335,,
44,45,45-23,UGA_173101_P001_WG06,HS 101,3,6/30/23,T,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,1,18,,,,32.50851,-83.39172,,
45,46,46-23,UGA_173101_P001_WH06,HS 116,4,7/6/23,T,6 to 10,,,,,,2023,7/6/23,Twiggs,CGA,Hair Snare,1,5,,,,32.55930,-83.45468,,
46,47,47-23,UGA_173101_P001_WA07,HS 043,6,7/18/23,T,6 to 10,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,1,4,,,,32.48803,-83.54904,,
47,48,48-23,UGA_173101_P001_WB07,HS 012,6,7/19/23,T,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,1,12,,,,32.39073,-83.56828,,
48,49,49-23,UGA_173101_P001_WC07,HS 050,6,7/20/23,B,10+,,,,,,2023,7/20/23,Houston,CGA,Hair Snare,1,7,,,,32.50752,-83.55628,,
49,50,50-23,UGA_173101_P001_WD07,HS 066,6,7/19/23,B,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,1,10,,,,32.42799,-83.46671,,
49,50,50-23,UGA_173101_P001_WD10,HS 066,6,7/19/23,B,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,1,10,,,,32.42799,-83.46671,,
50,51,51-23,UGA_173101_P001_WE07,HS 130,7,7/29/23,T,10+,,,,,,2023,7/29/23,Twiggs,CGA,Hair Snare,1,13,,,,32.61567,-83.50919,,
51,52,52-23,UGA_173101_P001_WG07,HS 027,4,7/4/23,B,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,1,25,,,,32.44472,-83.50545,,
52,53,53-23,UGA_173101_P001_WH07,HS 066,6,7/19/23,B,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,1,25,,,,32.42799,-83.46671,,
53,54,54-23,UGA_173101_P001_WA08,HS 068,7,7/29/23,B,10+,,,,,,2023,7/29/23,Bleckley,CGA,Hair Snare,1,10,,,,32.43761,-83.46568,,
54,55,55-23,UGA_173101_P001_WB08,HS 024,5,7/11/23,B,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,1,5,,,,32.42737,-83.49335,,
55,56,56-23,UGA_173101_P001_WC08,HS 056,4,7/4/23,T,10+,,,,,,2023,7/4/23,Pulaski,CGA,Hair Snare,1,10,,,,32.35842,-83.48504,,
56,57,57-23,UGA_173101_P001_WD08,HS 085,7,7/25/23,B,6 to 10,,,,,,2023,7/25/23,Twiggs,CGA,Hair Snare,1,5,,,,32.50086,-83.50836,,
57,58,58-23,UGA_173101_P001_WE08,HS 071,7,7/26/23,B,10+,,,,,,2023,7/26/23,Bleckley,CGA,Hair Snare,1,5,,,,32.45016,-83.47970,,
58,59,59-23,UGA_173101_P001_WF08,HS 042,7,7/27/23,B,10+,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,1,10,,,,32.48712,-83.55912,,
59,60,60-23,UGA_173101_P001_WG08,HS 051,6,7/20/23,T,6 to 10,,,,,,2023,7/20/23,Houston,CGA,Hair Snare,1,8,,,,32.50791,-83.54721,,
60,61,61-23,UGA_173101_P001_WH08,HS 073,7,7/26/23,T,10+,,,,,,2023,7/26/23,Bleckley,CGA,Hair Snare,1,15,,,,32.45933,-83.47077,,
61,62,62-23,UGA_173101_P001_WA09,HS 068,3,7/1/23,T,6 to 10,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,1,5,,,,32.43761,-83.46568,,
62,63,63-23,UGA_173101_P001_WB09,HS 070,6,7/22/23,T,10+,,,,,,2023,7/22/23,Bleckley,CGA,Hair Snare,1,17,,,,32.44693,-83.45346,,
63,64,64-23,UGA_173101_P001_WC09,HS 007,4,7/6/23,T,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,1,12,,,,32.41777,-83.60471,,
64,66,66-23,UGA_173101_P001_WD09,HS 110,7,7/28/23,T,10+,,,,,,2023,7/28/23,Twiggs,CGA,Hair Snare,1,8,,,,32.54697,-83.47593,,
65,67,67-23,UGA_173101_P001_WE09,HS 001,7,7/28/23,T,10+,,,,,,2023,7/28/23,Houston,CGA,Hair Snare,1,8,,,,32.38816,-83.67687,,
66,68,68-23,UGA_173101_P001_WF09,HS 047,4,7/6/23,B,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,1,8,,,,32.49640,-83.55613,,
67,69,69-23,UGA_173101_P001_WG09,HS 068,3,7/1/23,T,10+,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,1,8,,,,32.43761,-83.46568,,
68,70,70-23,UGA_173101_P001_WH09,HS 044,3,6/27/23,T,10+,,,,,,2023,6/27/23,Houston,CGA,Hair Snare,1,7,,,,32.48715,-83.51058,,
69,71,71-23,UGA_173101_P001_WA10,HS 068,6,7/22/23,T,10+,,,,,,2023,7/22/23,Bleckley,CGA,Hair Snare,1,5,,,,32.43761,-83.46568,,
70,72,72-23,UGA_173101_P001_WB10,HS 046,6,7/20/23,T,10+,,,,,,2023,7/20/23,Houston,CGA,Hair Snare,1,8,,,,32.50079,-83.56544,,
71,73,73-23,UGA_173101_P001_WC10,HS 027,6,7/18/23,B,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,1,6,,,,32.44472,-83.50545,,
72,74,74-23,UGA_173101_P001_WE10,HS 068,3,7/1/23,T,6 to 10,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,1,3,,,,32.43761,-83.46568,,
73,75,75-23,UGA_173101_P001_WF10,HS 131,5,7/13/23,T,10+,,,,,,2023,7/13/23,Twiggs,CGA,Hair Snare,1,10,,,,32.61035,-83.45459,,
74,76,76-23,UGA_173101_P001_WG10,HS 123,2,6/22/23,T,6 to 10,,,,,,2023,6/22/23,Twiggs,CGA,Hair Snare,1,5,,,,32.57586,-83.44059,,
75,77,77-23,UGA_173101_P001_WH10,HS 068,3,7/1/23,T,10+,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,1,8,,,,32.43761,-83.46568,,
76,78,78-23,UGA_173101_P001_WA11,HS 042,4,7/6/23,B,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,1,10,,,,32.48712,-83.55912,,
77,79,79-23,UGA_173101_P001_WB11,HS 042,6,7/20/23,T,6 to 10,,,,,,2023,7/20/23,Houston,CGA,Hair Snare,1,5,,,,32.48712,-83.55912,,
78,80,80-23,UGA_173101_P001_WC11,HS 121,7,7/28/23,B,10+,,,,,,2023,7/28/23,Twiggs,CGA,Hair Snare,1,8,,,,32.57649,-83.49005,,
79,81,81-23,UGA_173101_P001_WD11,HS 046,6,7/20/23,T,6 to 10,,,,,,2023,7/20/23,Houston,CGA,Hair Snare,1,9,,,,32.50079,-83.56544,,
80,83,83-23,UGA_173101_P001_WE11,HS 101,1,6/15/23,B,6 to 10,,,,,,2023,6/15/23,Twiggs,CGA,Hair Snare,1,6,,,,32.50851,-83.39172,,
81,84,84-23,UGA_173101_P001_WF11,HS 027,4,7/4/23,B,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,1,10,,,,32.44472,-83.50545,,
82,85,85-23,UGA_173101_P001_WG11,HS 130,2,6/24/23,B,6 to 10,,,,,,2023,6/24/23,Twiggs,CGA,Hair Snare,1,3,,,,32.61567,-83.50919,,
83,86,86-23,UGA_173101_P001_WH11,HS 101,6,7/20/23,T,6 to 10,,,,,,2023,7/20/23,Twiggs,CGA,Hair Snare,1,7,,,,32.50851,-83.39172,,
84,87,87-23,UGA_173101_P001_WA12,HS 065,6,7/19/23,B,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,1,10,,,,32.42075,-83.45467,,
85,88,88-23,UGA_173101_P001_WB12,HS 065,7,7/26/23,B,10+,,,,,,2023,7/26/23,Bleckley,CGA,Hair Snare,1,8,,,,32.42075,-83.45467,,
86,89,89-23,UGA_173101_P001_WC12,HS 073,5,7/13/23,B,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,1,14,,,,32.45933,-83.47077,,
87,90,90-23,UGA_173101_P001_WD12,HS 070,3,7/1/23,T,6 to 10,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,1,9,,,,32.44693,-83.45346,,
88,91,91-23,UGA_173101_P001_WE12,HS 027,5,7/11/23,B,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,1,11,,,,32.44472,-83.50545,,
89,92,92-23,UGA_173101_P001_WF12,HS 044,6,7/18/23,T,6 to 10,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,1,7,,,,32.48715,-83.51058,,
90,93,93-23,UGA_173101_P001_WG12,HS 055,7,7/25/23,B,10+,,,,,,2023,7/25/23,Pulaski,CGA,Hair Snare,1,8,,,,32.35186,-83.48669,,
91,94,94-23,UGA_173101_P001_WH12,HS 109,2,6/23/23,T,10+,,,,,,2023,6/23/23,Twiggs,CGA,Hair Snare,1,9,,,,32.55027,-83.48756,,
92,95,95-23,UGA_173101_P002_WA01,HS 068,7,7/29/23,B,10+,,,,,,2023,7/29/23,Bleckley,CGA,Hair Snare,2,8,,,,32.43761,-83.46568,,
93,96,96-23,UGA_173101_P002_WB01,HS 027,4,7/4/23,T,6 to 10,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,2,6,,,,32.44472,-83.50545,,
94,97,97-23,UGA_173101_P002_WC01,HS 012,6,7/19/23,T,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,2,8,,,,32.39073,-83.56828,,
95,98,98-23,UGA_173101_P002_WD01,HS 007,5,7/12/23,T,10+,,,,,,2023,7/12/23,Houston,CGA,Hair Snare,2,6,,,,32.41777,-83.60471,,
96,99,99-23,UGA_173101_P002_WE01,HS 101,7,7/27/23,B,10+,,,,,,2023,7/27/23,Twiggs,CGA,Hair Snare,2,8,,,,32.50851,-83.39172,,
97,100,100-23,UGA_173101_P002_WF01,HS 066,6,7/19/23,B,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,2,6,,,,32.42799,-83.46671,,
98,101,101-23,UGA_173101_P002_WG01,HS 042,7,7/27/23,T,10+,,,,,,2023,7/27/23,Houston,CGA,Hair Snare,2,7,,,,32.48712,-83.55912,,
99,102,102-23,UGA_173101_P002_WF03,HS 046,4,7/6/23,T,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,2,7,,,,32.50079,-83.56544,,
99,102,102-23,UGA_173101_P002_WH01,HS 046,4,7/6/23,T,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,2,10,,,,32.50079,-83.56544,,
100,103,103-23,UGA_173101_P002_WA02,HS 068,6,7/22/23,T,10+,,,,,,2023,7/22/23,Bleckley,CGA,Hair Snare,2,6,,,,32.43761,-83.46568,,
101,104,104-23,UGA_173101_P002_WB02,HS 025,5,7/11/23,B,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,2,4,,,,32.43851,-83.49664,,
102,105,105-23,UGA_173101_P002_WC02,HS 068,3,7/1/23,B,10+,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,2,15,,,,32.43761,-83.46568,,
103,106,106-23,UGA_173101_P002_WD02,HS 096,6,7/22/23,T,10+,,,,,,2023,7/22/23,Twiggs,CGA,Hair Snare,2,12,,,,32.51902,-83.43392,,
104,107,107-23,UGA_173101_P002_WE02,HS 126,4,7/6/23,B,10+,,,,,,2023,7/6/23,Twiggs,CGA,Hair Snare,2,4,,,,32.59076,-83.44125,,
105,108,108-23,UGA_173101_P002_WF02,HS 047,2,6/22/23,T,10+,,,,,,2023,6/22/23,Houston,CGA,Hair Snare,2,10,,,,32.49640,-83.55613,,
106,110,110-23,UGA_173101_P002_WG02,HS 066,5,7/13/23,B,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,2,6,,,,32.42799,-83.46671,,
107,111,111-23,UGA_173101_P002_WA03,HS 101,1,6/15/23,T,6 to 10,,,,,,2023,6/15/23,Twiggs,CGA,Hair Snare,2,4,,,,32.50851,-83.39172,,
108,112,112-23,UGA_173101_P002_WB03,HS 068,4,7/8/23,T,10+,,,,,,2023,7/8/23,Bleckley,CGA,Hair Snare,2,4,,,,32.43761,-83.46568,,
109,113,113-23,UGA_173101_P002_WC03,HS 111,4,7/7/23,B,10+,,,,,,2023,7/7/23,Twiggs,CGA,Hair Snare,2,8,,,,32.55092,-83.45768,,
110,114,114-23,UGA_173101_P002_WD03,HS 009,7,7/26/23,T,6 to 10,,,,,,2023,7/26/23,Houston,CGA,Hair Snare,2,5,,,,32.38062,-83.55952,,
111,115,115-23,UGA_173101_P002_WE03,HS 009,6,7/19/23,B,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,2,10,,,,32.38062,-83.55952,,
112,116,116-23,UGA_173101_P002_WG03,HS 056,5,7/11/23,B,10+,,,,,,2023,7/11/23,Pulaski,CGA,Hair Snare,2,10,,,,32.35842,-83.48504,,
113,117,117-23,UGA_173101_P002_WH03,HS 010,4,7/5/23,T,10+,,,,,,2023,7/5/23,Pulaski,CGA,Hair Snare,2,10,,,,32.37021,-83.54153,,
114,118,118-23,UGA_173101_P002_WA04,HS 044,7,7/25/23,T,10+,,,,,,2023,7/25/23,Houston,CGA,Hair Snare,2,10,,,,32.48715,-83.51058,,
115,119,119-23,UGA_173101_P002_WB04,HS 066,6,7/19/23,T,10+,,,,,,2023,7/19/23,Bleckley,CGA,Hair Snare,2,10,,,,32.42799,-83.46671,,
116,120,120-23,UGA_173101_P002_WC04,HS 037,7,7/26/23,B,10+,,,,,,2023,7/26/23,Houston,CGA,Hair Snare,2,6,,,,32.47273,-83.53941,,
117,121,121-23,UGA_173101_P002_WD04,HS 028,6,7/19/23,T,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,2,15,,,,32.45919,-83.57036,,
117,121,121-23,UGA_173101_P002_WG08,HS 028,6,7/19/23,T,10+,,,,,,2023,7/19/23,Houston,CGA,Hair Snare,2,15,,,,32.45919,-83.57036,,
118,122,122-23,UGA_173101_P002_WE04,HS 040,6,7/18/23,T,6 to 10,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,2,5,,Few hairs with no obvious follicles,,32.47500,-83.52335,,
119,123,123-23,UGA_173101_P002_WF04,HS 027,4,7/4/23,B,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,2,12,,,,32.44472,-83.50545,,
120,124,124-23,UGA_173101_P002_WG04,HS 088,7,7/26/23,T,6 to 10,,,,,,2023,7/26/23,Twiggs,CGA,Hair Snare,2,10,,,,32.50554,-83.45286,,
121,125,125-23,UGA_173101_P002_WH04,HS 027,4,7/4/23,B,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,2,6,,,,32.44472,-83.50545,,
122,126,126-23,UGA_173101_P002_WA05,HS 071,4,7/5/23,T,10+,,,,,,2023,7/5/23,Bleckley,CGA,Hair Snare,2,6,,,,32.45016,-83.47970,,
123,127,127-23,UGA_173101_P002_WC05,HS 101,3,6/30/23,B,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,2,8,,,,32.50851,-83.39172,,
124,128,128-23,UGA_173101_P002_WD05,HS 056,5,7/11/23,T,10+,,,,,,2023,7/11/23,Pulaski,CGA,Hair Snare,2,8,,,,32.35842,-83.48504,,
125,129,129-23,UGA_173101_P002_WE05,HS 066,5,7/13/23,T,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,2,7,,,,32.42799,-83.46671,,
126,130,130-23,UGA_173101_P002_WF05,HS 078,3,6/30/23,T,10+,,,,,,2023,6/30/23,Twiggs,CGA,Hair Snare,2,1,,One bear hair with other non bear hair in envelope,,32.48743,-83.45378,,
127,131,131-23,UGA_173101_P002_WG05,HS 065,5,7/13/23,B,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,2,6,,,,32.42075,-83.45467,,
128,132,132-23,UGA_173101_P002_WH05,HS 126,4,7/6/23,B,10+,,,,,,2023,7/6/23,Twiggs,CGA,Hair Snare,2,5,,,,32.59076,-83.44125,,
129,133,133-23,UGA_173101_P002_WA06,HS 065,5,7/13/23,B,6 to 10,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,2,7,,,,32.42075,-83.45467,,
130,134,134-23,UGA_173101_P002_WB06,HS 066,5,7/13/23,T,10+,,,,,,2023,7/13/23,Bleckley,CGA,Hair Snare,2,5,,,,32.42799,-83.46671,,
131,135,135-23,UGA_173101_P002_WC06,HS 027,7,7/25/23,B,6 to 10,,,,,,2023,7/25/23,Houston,CGA,Hair Snare,2,8,,,,32.44472,-83.50545,,
132,136,136-23,UGA_173101_P002_WD06,HS 025,6,7/18/23,B,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,2,8,,,,32.43851,-83.49664,,
133,137,137-23,UGA_173101_P002_WE06,HS 042,4,7/6/23,T,6 to 10,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,2,10,,,,32.48712,-83.55912,,
134,138,138-23,UGA_173101_P002_WF06,HS 040,4,7/4/23,B,10+,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,2,4,,,,32.47500,-83.52335,,
135,139,139-23,UGA_173101_P002_WG06,HS 027,4,7/4/23,T,6 to 10,,,,,,2023,7/4/23,Houston,CGA,Hair Snare,2,6,,,,32.44472,-83.50545,,
136,140,140-23,UGA_173101_P002_WH06,HS 027,6,7/18/23,T,10+,,,,,,2023,7/18/23,Houston,CGA,Hair Snare,2,10,,,,32.44472,-83.50545,,
137,141,141-23,UGA_173101_P002_WA07,HS 027,5,7/11/23,T,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,2,5,,,,32.44472,-83.50545,,
137,141,141-23,UGA_173101_P002_WB05,HS 027,5,7/11/23,T,10+,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,2,5,,,,32.44472,-83.50545,,
138,142,142-23,UGA_173101_P002_WB07,HS 027,5,7/11/23,B,6 to 10,,,,,,2023,7/11/23,Houston,CGA,Hair Snare,2,10,,,,32.44472,-83.50545,,
139,143,143-23,UGA_173101_P002_WC07,HS 068,3,7/1/23,B,6 to 10,,,,,,2023,7/1/23,Bleckley,CGA,Hair Snare,2,6,,,,32.43761,-83.46568,,
140,144,144-23,UGA_173101_P002_WD07,HS 046,4,7/6/23,T,6 to 10,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,2,10,,,,32.50079,-83.56544,,
141,145,145-23,UGA_173101_P002_WE07,HS 116,4,7/6/23,T,6 to 10,,,,,,2023,7/6/23,Twiggs,CGA,Hair Snare,2,8,,,,32.55930,-83.45468,,
142,146,146-23,UGA_173101_P002_WF07,HS 012,3,6/28/23,T,6 to 10,,,,,,2023,6/28/23,Houston,CGA,Hair Snare,2,4,,,,32.39073,-83.56828,,
143,147,147-23,UGA_173101_P002_WG07,HS 008,3,6/29/23,T,10+,,,,,,2023,6/29/23,Houston,CGA,Hair Snare,2,6,,,,32.41673,-83.59290,,
144,148,148-23,UGA_173101_P002_WH07,HS 008,4,7/6/23,T,10+,,,,,,2023,7/6/23,Houston,CGA,Hair Snare,2,7,,,,32.41673,-83.59290,,
