Sample..,RandomID,Hair.ID,Rapid.Genomics.ID,Site.ID,Week,Check.Date,Strand,Sample.Quality,DNR.ID,Database.ID,PIT.Tag,Bear,Sex,Year,Date,County,Region,What,Plate,Follicles,Abnormalitiy.,Comments,Address,Latitude,Longitude,X,X.1
213,218,218-23,UGA_173101_P003_WB05,HS 089,3,6/28/2023,T,10+,,,,,,2023,6/28/2023,Twiggs,CGA,Hair Snare,3,8,,,,32.50342,-83.4374,,
214,219,219-23,UGA_173101_P003_WC05,HS 130,2,6/24/2023,T,10+,,,,,,2023,6/24/2023,Twiggs,CGA,Hair Snare,3,10,,,,32.61567,-83.50919,,
215,220,220-23,UGA_173101_P003_WD05,HS 001,7,7/28/2023,T,10+,,,,,,2023,7/28/2023,Houston,CGA,Hair Snare,3,10,,,,32.38816,-83.67687,,
216,221,221-23,UGA_173101_P003_WE05,HS 118,1,6/17/2023,B,6 to 10,,,,,,2023,6/17/2023,Twiggs,CGA,Hair Snare,3,3,,,,32.56782,-83.52305,,
226,231,231-23,UGA_173101_P003_WH06,HS 068,4,7/8/2023,T,6 to 10,,,,,,2023,7/8/2023,Bleckley,CGA,Hair Snare,3,3,,,,32.43761,-83.46568,,
227,232,232-23,UGA_173101_P003_WA07,HS 078,3,6/30/2023,B,6 to 10,,,,,,2023,6/30/2023,Twiggs,CGA,Hair Snare,3,7,,,,32.48743,-83.45378,,
229,234,234-23,UGA_173101_P003_WC07,HS 005,5,7/12/2023,T,10+,,,,,,2023,7/12/2023,Houston,CGA,Hair Snare,3,12,,,,32.40774,-83.62762,,
231,236,236-23,UGA_173101_P003_WF07,HS 032,4,7/5/2023,T,10+,,,,,,2023,7/5/2023,Houston,CGA,Hair Snare,3,9,,,,32.45173,-83.51407,,
233,238,238-23,UGA_173101_P003_WH07,HS 070,3,7/1/2023,T,10+,,,,,,2023,7/1/2023,Bleckley,CGA,Hair Snare,3,7,,,,32.44693,-83.45346,,
235,240,240-23,UGA_173101_P003_WB08,HS 028,2,6/21/2023,T,6 to 10,,,,,,2023,6/21/2023,Houston,CGA,Hair Snare,3,5,,,,32.45919,-83.57036,,
237,242,242-23,UGA_173101_P003_WD08,HS 021,3,6/27/2023,T,6 to 10,,,,,,2023,6/27/2023,Houston,CGA,Hair Snare,3,3,,,,32.41182,-83.50189,,
238,243,243-23,UGA_173101_P003_WE08,HS 032,6,7/19/2023,T,10+,,,,,,2023,7/19/2023,Houston,CGA,Hair Snare,3,12,,,,32.45173,-83.51407,,
241,246,246-23,UGA_173101_P003_WH08,HS 044,3,6/27/2023,T,6 to 10,,,,,,2023,6/27/2023,Houston,CGA,Hair Snare,3,5,,,,32.48715,-83.51058,,
242,247,247-23,UGA_173101_P003_WA09,HS 008,4,7/6/2023,T,10+,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,3,13,,,,32.41673,-83.5929,,
243,248,248-23,UGA_173101_P003_WB09,HS 012,1,6/15/2023,B,10+,,,,,,2023,6/15/2023,Houston,CGA,Hair Snare,3,5,,,,32.39073,-83.56828,,
247,252,252-23,UGA_173101_P003_WF09,HS 066,5,7/13/2023,T,10+,,,,,,2023,7/13/2023,Bleckley,CGA,Hair Snare,3,6,,,,32.42799,-83.46671,,
249,254,254-23,UGA_173101_P003_WH09,HS 068,3,7/1/2023,T,10+,,,,,,2023,7/1/2023,Bleckley,CGA,Hair Snare,3,9,,,,32.43761,-83.46568,,
251,256,256-23,UGA_173101_P003_WB10,HS 101,3,6/30/2023,B,10+,,,,,,2023,6/30/2023,Twiggs,CGA,Hair Snare,3,10,,,,32.50851,-83.39172,,
254,260,260-23,UGA_173101_P003_WE10,HS 101,3,6/30/2023,T,10+,,,,,,2023,6/30/2023,Twiggs,CGA,Hair Snare,3,7,,,,32.50851,-83.39172,,
255,261,261-23,UGA_173101_P003_WF10,HS 040,4,7/4/2023,B,10+,,,,,,2023,7/4/2023,Houston,CGA,Hair Snare,3,6,,,,32.475,-83.52335,,
257,263,263-23,UGA_173101_P003_WH10,HS 110,7,7/28/2023,T,10+,,,,,,2023,7/28/2023,Twiggs,CGA,Hair Snare,3,8,,,,32.54697,-83.47593,,
259,265,265-23,UGA_173101_P003_WB11,HS 101,3,6/30/2023,T,10+,,,,,,2023,6/30/2023,Twiggs,CGA,Hair Snare,3,9,,,,32.50851,-83.39172,,
267,273,273-23,UGA_173101_P003_WB12,HS 068,7,7/29/2023,T,6 to 10,,,,,,2023,7/29/2023,Bleckley,CGA,Hair Snare,3,7,,,,32.43761,-83.46568,,
273,279,279-23,UGA_173101_P003_WH12,HS 005,3,6/29/2023,T,10+,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,3,7,,,,32.40774,-83.62762,,
280,286,286-23,UGA_173101_P004_WG01,HS 028,2,6/21/2023,T,6 to 10,,,,,,2023,6/21/2023,Houston,CGA,Hair Snare,4,5,,,,32.45919,-83.57036,,
281,287,287-23,UGA_173101_P004_WH01,HS 007,3,6/29/2023,T,10+,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,4,7,,,,32.41777,-83.60471,,
284,290,290-23,UGA_173101_P004_WC02,HS 071,7,7/26/2023,T,10+,,,,,,2023,7/26/2023,Bleckley,CGA,Hair Snare,4,8,,,,32.45016,-83.4797,,
285,291,291-23,UGA_173101_P004_WD02,HS 071,4,7/5/2023,B,6 to 10,,,,,,2023,7/5/2023,Bleckley,CGA,Hair Snare,4,6,,,,32.45016,-83.4797,,
287,293,293-23,UGA_173101_P004_WF02,HS 047,4,7/6/2023,T,10+,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,4,5,,,,32.4964,-83.55613,,
288,294,294-23,UGA_173101_P004_WG02,HS 126,2,6/22/2023,T,6 to 10,,,,,,2023,6/22/2023,Twiggs,CGA,Hair Snare,4,5,,,,32.59076,-83.44125,,
289,295,295-23,UGA_173101_P004_WH02,HS 096,7,7/29/2023,T,6 to 10,,,,,,2023,7/29/2023,Twiggs,CGA,Hair Snare,4,5,,,,32.51902,-83.43392,,
290,296,296-23,UGA_173101_P004_WA03,HS 126,4,7/6/2023,B,10+,,,,,,2023,7/6/2023,Twiggs,CGA,Hair Snare,4,13,,,,32.59076,-83.44125,,
292,298,298-23,UGA_173101_P004_WC03,HS 026,1,6/14/2023,B,10+,,,,,,2023,6/14/2023,Houston,CGA,Hair Snare,4,7,,,,32.44461,-83.52258,,
298,304,304-23,UGA_173101_P004_WC04,HS 030,3,6/28/2023,T,6 to 10,,,,,,2023,6/28/2023,Houston,CGA,Hair Snare,4,6,,,,32.45655,-83.54399,,
303,309,309-23,UGA_173101_P004_WH04,HS 042,4,7/6/2023,T,6 to 10,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,4,7,,,,32.48712,-83.55912,,
304,310,310-23,UGA_173101_P004_WA05,HS 024,7,7/25/2023,T,10+,,,,,,2023,7/25/2023,Houston,CGA,Hair Snare,4,7,,,,32.42737,-83.49335,,
305,311,311-23,UGA_173101_P004_WB05,HS 121,6,7/21/2023,T,6 to 10,,,,,,2023,7/21/2023,Twiggs,CGA,Hair Snare,4,6,,Not Good Follicles,,32.57649,-83.49005,,
307,313,313-23,UGA_173101_P004_WD05,HS 009,7,7/26/2023,T,10+,,,,,,2023,7/26/2023,Houston,CGA,Hair Snare,4,7,,,,32.38062,-83.55952,,
309,315,315-23,UGA_173101_P004_WF05,HS 032,4,7/5/2023,B,10+,,,,,,2023,7/5/2023,Houston,CGA,Hair Snare,4,5,,,,32.45173,-83.51407,,
310,316,316-23,UGA_173101_P004_WG05,HS 008,4,7/6/2023,T,10+,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,4,5,,,,32.41673,-83.5929,,
315,321,321-23,UGA_173101_P004_WE06,HS 042,6,7/20/2023,T,6 to 10,,,,,,2023,7/20/2023,Houston,CGA,Hair Snare,4,8,,,,32.48712,-83.55912,,
319,325,325-23,UGA_173101_P004_WA07,HS 130,2,6/24/2023,T,6 to 10,,,,,,2023,6/24/2023,Twiggs,CGA,Hair Snare,4,5,,,,32.61567,-83.50919,,
335,342,342-23,UGA_173101_P004_WB09,HS 051,4,7/6/2023,B,10+,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,4,8,,,,32.50791,-83.54721,,
336,343,343-23,UGA_173101_P004_WC09,HS 050,7,7/27/2023,T,6 to 10,,,,,,2023,7/27/2023,Houston,CGA,Hair Snare,4,6,,,,32.50752,-83.55628,,
338,345,345-23,UGA_173101_P004_WE09,HS 024,3,6/27/2023,T,10+,,,,,,2023,6/27/2023,Houston,CGA,Hair Snare,4,7,,,,32.42737,-83.49335,,
341,348,348-23,UGA_173101_P004_WH09,HS 005,3,6/29/2023,T,6 to 10,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,4,5,,,,32.40774,-83.62762,,
343,350,350-23,UGA_173101_P004_WB10,HS 042,4,7/6/2023,B,10+,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,4,10,,,,32.48712,-83.55912,,
344,351,351-23,UGA_173101_P004_WC10,HS 045,7,7/27/2023,T,10+,,,,,,2023,7/27/2023,Houston,CGA,Hair Snare,4,7,,,,32.49782,-83.57367,,
352,360,360-23,UGA_173101_P004_WC11,HS 101,2,6/22/2023,T,6 to 10,,,,,,2023,6/22/2023,Twiggs,CGA,Hair Snare,4,5,,Not Good Follicles,,32.50851,-83.39172,,
355,363,363-23,UGA_173101_P004_WF11,HS 068,6,7/22/2023,B,10+,,,,,,2023,7/22/2023,Bleckley,CGA,Hair Snare,4,6,,,,32.43761,-83.46568,,
357,366,366-23,UGA_173101_P004_WA12,HS 024,5,7/11/2023,T,10+,,,,,,2023,7/11/2023,Houston,CGA,Hair Snare,4,8,,Not Good Follicles,,32.42737,-83.49335,,
359,368,368-23,UGA_173101_P004_WC12,HS 012,3,6/28/2023,T,6 to 10,,,,,,2023,6/28/2023,Houston,CGA,Hair Snare,4,8,,,,32.39073,-83.56828,,
360,369,369-23,UGA_173101_P004_WD12,HS 088,5,7/12/2023,T,10+,,,,,,2023,7/12/2023,Twiggs,CGA,Hair Snare,4,12,,,,32.50554,-83.45286,,
366,375,375-23,UGA_173101_P005_WB01,HS 007,3,6/29/2023,T,10+,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,5,18,,,,32.41777,-83.60471,,
368,377,377-23,UGA_173101_P005_WB02,HS 028,5,7/12/2023,T,10+,,,,,,2023,7/12/2023,Houston,CGA,Hair Snare,5,12,,,,32.45919,-83.57036,,
373,382,382-23,UGA_173101_P005_WA02,HS 078,5,7/14/2023,T,10+,,,,,,2023,7/14/2023,Twiggs,CGA,Hair Snare,5,15,,,,32.48743,-83.45378,,
374,383,383-23,UGA_173101_P005_WC02,HS 077,4,7/7/2023,T,10+,,,,,,2023,7/7/2023,Twiggs,CGA,Hair Snare,5,20,,,,32.48167,-83.46453,,
381,390,390-23,UGA_173101_P005_WB03,HS 101,4,7/7/2023,T,10+,,,,,,2023,7/7/2023,Twiggs,CGA,Hair Snare,5,8,,,,32.50851,-83.39172,,
383,392,392-23,UGA_173101_P005_WD03,HS 068,5,7/15/2023,T,10+,,,,,,2023,7/15/2023,Bleckley,CGA,Hair Snare,5,18,,,,32.43761,-83.46568,,
390,399,399-23,UGA_173101_P005_WC04,HS 027,3,6/27/2023,T,10+,,,,,,2023,6/27/2023,Houston,CGA,Hair Snare,5,10,,,,32.44472,-83.50545,,
391,400,400-23,UGA_173101_P005_WD04,HS 005,5,7/12/2023,T,10+,,,,,,2023,7/12/2023,Houston,CGA,Hair Snare,5,9,,,,32.40774,-83.62762,,
392,401,401-23,UGA_173101_P005_WE04,HS 030,3,6/28/2023,T,10+,,,,,,2023,6/28/2023,Houston,CGA,Hair Snare,5,22,,,,32.45655,-83.54399,,
417,426,426-23,UGA_173101_P005_WF04,HS 012,6,7/19/2023,T,10+,,,,,,2023,7/19/2023,Houston,CGA,Hair Snare,5,10,,,,32.39073,-83.56828,,
394,403,403-23,UGA_173101_P005_WH04,HS 068,5,7/15/2023,T,10+,,,,,,2023,7/15/2023,Bleckley,CGA,Hair Snare,5,18,,,,32.43761,-83.46568,,
397,406,406-23,UGA_173101_P005_WD05,HS 065,5,7/13/2023,T,10+,,,,,,2023,7/13/2023,Bleckley,CGA,Hair Snare,5,18,,,,32.42075,-83.45467,,
403,412,412-23,UGA_173101_P005_WB06,HS 031,7,7/26/2023,B,10+,,,,,,2023,7/26/2023,Houston,CGA,Hair Snare,5,10,,,,32.45188,-83.53431,,
407,416,416-23,UGA_173101_P005_WF06,HS 118,1,6/17/2023,T,6 to 10,,,,,,2023,6/17/2023,Twiggs,CGA,Hair Snare,5,6,,,,32.56782,-83.52305,,
409,418,418-23,UGA_173101_P005_WH06,HS 132,4,7/6/2023,B,10+,,,,,,2023,7/6/2023,Twiggs,CGA,Hair Snare,5,8,,,,32.62112,-83.44886,,
410,419,419-23,UGA_173101_P005_WA07,HS 132,3,6/29/2023,T,6 to 10,,,,,,2023,6/29/2023,Twiggs,CGA,Hair Snare,5,8,,,,32.62112,-83.44886,,
415,424,424-23,UGA_173101_P005_WF07,HS 027,5,7/11/2023,T,6 to 10,,,,,,2023,7/11/2023,Houston,CGA,Hair Snare,5,5,,,,32.44472,-83.50545,,
416,425,425-23,UGA_173101_P005_WG07,HS 070,5,7/15/2023,T,10+,,,,,,2023,7/15/2023,Bleckley,CGA,Hair Snare,5,20,,,,32.44693,-83.45346,,
418,427,427-23,UGA_173101_P005_WB08,HS 024,5,7/11/2023,T,10+,,,,,,2023,7/11/2023,Houston,CGA,Hair Snare,5,16,,,,32.42737,-83.49335,,
424,433,433-23,UGA_173101_P005_WH08,HS 008,3,6/29/2023,T,6 to 10,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,5,7,,,,32.41673,-83.5929,,
425,434,434-23,UGA_173101_P005_WA09,HS 077,4,7/7/2023,T,6 to 10,,,,,,2023,7/7/2023,Twiggs,CGA,Hair Snare,5,5,,Not Good Follicles,,32.48167,-83.46453,,
426,435,435-23,UGA_173101_P005_WB09,HS 123,6,7/20/2023,T,6 to 10,,,,,,2023,7/20/2023,Twiggs,CGA,Hair Snare,5,7,,Not Good Follicles,,32.57586,-83.44059,,
427,436,436-23,UGA_173101_P005_WC09,HS 070,5,7/15/2023,T,10+,,,,,,2023,7/15/2023,Bleckley,CGA,Hair Snare,5,7,,,,32.44693,-83.45346,,
428,437,437-23,UGA_173101_P005_WD09,HS 078,3,6/30/2023,T,10+,,,,,,2023,6/30/2023,Twiggs,CGA,Hair Snare,5,6,,,,32.48743,-83.45378,,
429,438,438-23,UGA_173101_P005_WE09,HS 132,3,6/29/2023,B,6 to 10,,,,,,2023,6/29/2023,Twiggs,CGA,Hair Snare,5,6,,,,32.62112,-83.44886,,
430,439,439-23,UGA_173101_P005_WF09,HS 071,7,7/26/2023,T,10+,,,,,,2023,7/26/2023,Bleckley,CGA,Hair Snare,5,7,,,,32.45016,-83.4797,,
431,440,440-23,UGA_173101_P005_WG09,HS 051,4,7/6/2023,T,6 to 10,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,5,8,,,,32.50791,-83.54721,,
437,446,446-23,UGA_173101_P005_WE10,HS 005,3,6/29/2023,T,6 to 10,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,5,7,,Not Good Follicles,,32.40774,-83.62762,,
439,448,448-23,UGA_173101_P005_WG10,HS 028,2,6/21/2023,T,10+,,,,,,2023,6/21/2023,Houston,CGA,Hair Snare,5,12,,,,32.45919,-83.57036,,
445,455,455-23,UGA_173101_P005_WE11,HS 101,4,7/7/2023,T,10+,,,,,,2023,7/7/2023,Twiggs,CGA,Hair Snare,5,20,,,,32.50851,-83.39172,,
446,456,456-23,UGA_173101_P005_WF11,HS 066,5,7/13/2023,T,10+,,,,,,2023,7/13/2023,Bleckley,CGA,Hair Snare,5,22,,,,32.42799,-83.46671,,
449,459,459-23,UGA_173101_P005_WA12,HS 068,2,6/24/2023,B,6 to 10,,,,,,2023,6/24/2023,Bleckley,CGA,Hair Snare,5,6,,,,32.43761,-83.46568,,
454,464,464-23,UGA_173101_P005_WF12,HS 007,3,6/29/2023,T,10+,,,,,,2023,6/29/2023,Houston,CGA,Hair Snare,5,10,,,,32.41777,-83.60471,,
451,461,461-23,UGA_173101_P005_WC12,HS 068,7,7/29/2023,T,10+,,,,,,2023,7/29/2023,Bleckley,CGA,Hair Snare,5,15,,,,32.43761,-83.46568,,
459,469,469-23,UGA_173101_P006_WD01,HS 030,3,6/28/2023,T,6 to 10,,,,,,2023,6/28/2023,Houston,CGA,Hair Snare,6,6,,,,32.45655,-83.54399,,
460,470,470-23,UGA_173101_P006_WE01,HS 051,4,7/6/2023,T,6 to 10,,,,,,2023,7/6/2023,Houston,CGA,Hair Snare,6,8,,,,32.50791,-83.54721,,
456,466,466-23,UGA_173101_P006_WA01,HS 042,2,6/22/2023,B,10+,,,,,,2023,6/22/2023,Houston,CGA,Hair Snare,6,6,,,,32.48712,-83.55912,,
463,473,473-23,UGA_173101_P006_WA02,HS 101,6,7/20/2023,T,10+,,,,,,2023,7/20/2023,Twiggs,CGA,Hair Snare,6,4,,Not Good Follicles,,32.50851,-83.39172,,
464,474,474-23,UGA_173101_P006_WB02,HS 132,3,6/29/2023,B,6 to 10,,,,,,2023,6/29/2023,Twiggs,CGA,Hair Snare,6,4,,,,32.62112,-83.44886,,
469,479,479-23,UGA_173101_P006_WG02,HS 105,5,7/14/2023,T,6 to 10,,,,,,2023,7/14/2023,Twiggs,CGA,Hair Snare,6,6,,,,32.53205,-83.40229,,
